 211  254  42
 221  28  71
 225  3  56
 230  5  60
 235  2  59
 237  1  61
 247  5  60
 246  3  61
 2  2  59
 16  3  59
 32  1  54
 44  2  40
 44  3  33
 57  3  31
 59  4  18
 58  2  8
 55  5  239
 48  4  231
 51  1  227
 50  253  225
 47  249  218
 39  253  216
 41  248  212
 40  247  210
 34  248  205
 27  242  201
 26  246  205
 22  248  198
 20  254  197
 17  5  200
 11  16  195
 5  20  197
 252  22  197
 245  19  197
 238  20  198
 234  21  197
 232  16  199
 223  18  203
 219  20  206
 216  18  210
 210  20  213
 207  20  218
 204  17  220
 202  21  223
 201  23  226
 196  24  233
 198  24  235
 196  22  243
 194  16  251
 192  19  253
 190  19  2
 180  18  3
 191  13  13
 190  15  18
 197  8  19
 194  7  38
 200  4  44
 200  255  42
 201  5  37
 201  5  36
 228  9  59
 3  6  56
 24  6  52
 15  240  56
 35  231  56
 32  228  75
 40  229  46
 37  231  46
 35  230  36
 38  231  31
 40  215  16
 45  209  10
 21  213  210
 22  214  208
 16  214  208
 6  217  204
 252  223  205
 249  221  200
 245  223  205
 242  223  199
 243  221  204
 244  220  205
 242  217  203
 227  226  202
 224  238  209
 224  231  201
 219  238  207
 220  237  210
 212  243  207
 211  243  206
 210  250  214
 205  248  211
 201  242  208
 206  252  214
 198  254  216
 195  6  224
 194  7  226
 190  11  234
 192  14  240
 189  16  245
 185  17  252
 195  21  3
 195  23  12
 196  24  15
 204  23  26
 199  21  27
 202  19  28
 201  21  31
 210  24  34
 207  30  33
 212  36  33
 216  38  31
 213  44  31
 218  41  33
 215  41  33
 217  42  32
 222  40  34
 224  43  35
 226  41  35
 228  46  40
 232  50  44
 235  42  47
 242  40  46
 246  32  52
 232  236  54
 239  4  54
 232  20  58
 226  27  60
 241  32  47
 241  52  47
 255  45  36
 253  50  36
 252  54  31
 1  59  21
 6  61  9
 7  66  8
 13  61  7
 22  54  255
 30  54  1
 58  59  3
 40  42  251
 49  39  2
 51  38  6
 49  28  1
 46  31  6
 49  23  1
 48  18  14
 42  236  21
 33  220  33
 31  226  40
 29  213  46
 21  217  49
 32  218  50
 28  218  50
 13  218  44
 12  217  32
 19  213  45
 20  211  44
 15  226  50
 7  229  45
 15  234  56
 4  230  66
 246  240  64
 246  247  74
 242  14  64
 243  28  51
 11  46  26
 10  61  44
 21  52  44
 38  43  6
 31  52  247
 37  60  246
 44  43  227
 42  28  215
 53  23  214
 50  14  211
 48  3  223
 31  249  217
 30  234  207
 32  226  206
 31  219  221
 34  223  233
 37  217  224
 36  221  234
 31  221  242
 34  225  238
 36  215  235
 52  220  227
 42  209  242
 30  208  247
 36  197  12
 36  227  37
 41  243  40
 41  253  31
 43  8  53
 50  8  46
 45  8  24
 49  20  7
 58  33  249
 49  22  236
 50  30  232
 49  30  240
 60  7  226
 54  14  235
 53  18  252
 56  3  245
 57  255  252
 48  16  247
 45  221  14
 39  218  11
 31  210  21
 23  199  20
 9  194  31
 4  191  29
 255  192  31
 254  199  26
 253  204  25
 235  204  45
 38  173  21
 13  212  31
 13  203  32
 13  202  31
 16  203  30
 16  203  30
 15  203  28
 15  203  29
 13  202  31
 15  203  31
 15  202  31
 15  203  31
 15  202  32
 16  202  31
 16  203  31
